spdb3520	知识
spdb3530	17个
spdb3537	5150个
spdb3538	3月9日
spdb3539	共120人在青海银监局主会场
spdb3548	9393.66亿元
spdb3558	一名副局长
spdb3570	中国银行经济技术开发区支行
spdb3597	35万
spdb3599	23.6亿元
spdb3610	银监局
spdb3619	客户信用
spdb3620	湖州等
spdb3637	侴宇明
spdb3649	2011年7月
spdb3658	深圳
spdb3667	河南银监局与省国税局、地税局
spdb3669	省工信委、省国税局和省地税局
spdb3679	113.4亿元
spdb3680	4亿元
spdb3687	21个
spdb3688	21个
spdb3689	21个
spdb3690	15
spdb3708	两学一做”学习教育实施方案，宁波银监局
spdb3717	402户
spdb3727	银监会
spdb3730	6个
spdb3737	境内依法设立的商业银行适用商业银行押品管理指引。
spdb3748	2016年
spdb3759	40729.4万元
spdb3767	止涨回落
spdb3769	中国工商银行、中国农业银行、中国银行、中国建设银行四家大型银行分别筹建河北雄安分行
spdb3787	实现利润236.6亿元
spdb3788	13.90%
spdb3789	2011年5月
spdb3797	8小时
spdb3799	10.41亿美元
spdb3810	121个
spdb3820	41项
spdb3827	9月14日
spdb3828	知识竞赛
spdb3838	9.81亿元
spdb3839	1581.12亿元
spdb3840	22家
spdb3848	204511户
spdb3850	63.65%
spdb3857	中国银监会
spdb3859	2016年11月29日
spdb3868	16.18亿元
spdb3869	爱心卡77.8万张
spdb3870	以“支农支小”为第一责任。
spdb3879	最高额度可达10万元
spdb3887	金融知识
spdb3890	全域旅游支付结算智慧景区
spdb3897	2.68万亿元
spdb3899	2016年11月24日
spdb3900	2018年3月12日
spdb3927	银监会副主席蔡鄂生
spdb3928	107.4万亿元
spdb3929	金融办公室
spdb3940	金融
spdb3949	2017年7月3日
spdb3967	中国人民银行和中国银行业监督管理委员会
spdb3990	2008年4月
spdb3997	企业和个人信用信息基础数据库
spdb4009	1999年
spdb4010	10%
spdb4028	2016年6月1
spdb4029	城市商业银行、农村商业银行、农村合作银行和城乡信用社
spdb4030	中国人民银行、财政部、商务部、海关总署、税务总局、银监会
spdb4038	中文
spdb4039	中国人民银行
spdb4040	财政部及国家有关外债、外资管理部门
spdb4048	抄报中国人民银行
spdb4049	出资设立
spdb4057	4小时
spdb4058	4小时
spdb4078	每月第8个工作日前
spdb4079	2001年9月8日起
spdb4080	外汇局北京外汇管理部。总部不在北京的各中资外汇指定银行总行应将数据报送至外汇局所在地分支局
spdb4107	财政部、中国人民银行
spdb4117	银监会
spdb4120	进一步加强专项票据发行、兑付考核工作
spdb4128	5个工作日内
spdb4138	《高校国家助学贷款申请表》
spdb4139	家长
spdb4167	288
spdb4168	30000
spdb4169	8000
spdb4170	2002年2月6
spdb4188	四次
spdb4189	同一家
spdb4190	自2002年4月15日起施行
spdb4197	圆形
spdb4198	直径18毫米
spdb4199	50元
spdb4200	50元
spdb4218	10
spdb4230	每年6月30日前
spdb4247	清算
spdb4248	80000元
spdb4257	80000元
spdb4280	不超过90%
spdb4288	2005年10月21
spdb4297	中国人民银行
spdb4309	2007年11月28
spdb4310	2007年11月28
spdb4319	5个
spdb4320	延期支付、到期时本金和利息延期支付
spdb4329	2008年10月23
spdb4330	10元
spdb4337	2007年10月23
spdb4338	13枚
spdb4340	含纯金1/10盎司，直径18毫米，面额50元
spdb4347	正回购方所出质的资产支持证券（简称质押券）应当足额。
spdb4358	中国人民银行分支机构
spdb4368	2008年8月1日
spdb4369	2008年1月16
spdb4377	2007年10月31
spdb4379	北京天坛祈年殿
spdb4380	母子熊猫图
spdb4387	2008年11月28
spdb4397	1元
spdb4399	2008年11月12
spdb4407	2008年4月8
spdb4408	2
spdb4409	深圳国宝造币有限公司
spdb4419	2008年5月1
spdb4428	等值20000元人民币
spdb4429	等值20000元人民币
spdb4430	中国人民银行将继续支持澳门经济、贸易、投资以及澳门人民币业务的发展
spdb4439	《全国银行间债券市场债券交易管理办法》（中国人民银行令〔2000〕第2号发布）、《银行间债券市场债券登记托管结算管理办法》
spdb4440	中央国债登记结算有限责任公司
spdb4450	金融衍生产品交易
spdb4457	不得低于5亿元
spdb4458	2008年3月20
spdb4459	共9枚
spdb4460	直径60毫米，面额2000元
spdb4470	2009年6月30
spdb4477	300000
spdb4478	2009年1月16
spdb4487	自2009年3月16日起，两地支付互通安排开通美元、欧元、港币和英镑4个币种
spdb4489	当日9∶00至16∶00
spdb4490	当日9∶00至16∶00
spdb4497	300元
spdb4509	2009年6月10
spdb4520	2010年4月22日
spdb4528	2010年11月9
spdb4529	上海世界博览会吉祥物“海宝”，背景图案为城市建筑群，内缘上方刊“中国2010年上海世博会”字样，左下方刊“1元”面额。
spdb4530	一个戴着虎头帽的儿童敲打腰鼓，背景为燃放的鞭炮和布老虎图案，内缘下方刊“庚寅
spdb4540	2010年12月6
spdb4548	2010年8月26
spdb4549	5
spdb4559	2010年3月23
spdb4567	北京天坛祈年殿
spdb4568	300元
spdb4569	10000元
spdb4570	2000元
spdb4579	100元
spdb4600	2010年9月16
spdb4608	2011年6月16
spdb4620	中国人民银行令〔2010〕第2号发布）实施工作，保障非金融机构支付服务业务系统检测认证工作规范有序开展，中国人民银行
spdb4630	2011年10月28
spdb4638	2011年6月28
spdb4647	10元
spdb4648	30000
spdb4649	上海造币有限公司
spdb4650	2011年10月11
spdb4658	2011年10月13日
spdb4669	中国人民银行定于2011年4月15
spdb4670	3枚
spdb4677	2011年7月29
spdb4687	60000
spdb4688	2011年4月14
spdb4699	2011年4月29
spdb4707	母子熊猫图，并刊“1/4oz Au .999”字样、“华夏银行成立20周年纪念”英文字样及面额。  1盎司圆形银质纪念币背面图案为母子熊猫图
spdb4708	1
spdb4709	5
spdb4710	100元
spdb4717	12
spdb4718	20
spdb4719	12
spdb4720	22
spdb4730	2012年11月20
spdb4739	2011年3月1
spdb4747	2012年6月29
spdb4759	中国金币总公司
spdb4760	2011年4月27
spdb4767	2012年4月26日
spdb4768	2
spdb4769	含纯金1/4盎司，直径22毫米，面额100元
spdb4770	含纯金1/4盎司，直径22毫米，面额100元
spdb4777	券款对付结算方式办理债券结算和资金结算
spdb4787	2012年5月24
spdb4807	10000
spdb4808	30000
spdb4809	2013年8月8
spdb4817	含纯金1/4盎司，直径22毫米，面额100元
spdb4818	100元
spdb4819	15000枚
spdb4828	150元
spdb4829	直径23毫米，面额150元
spdb4830	150元
spdb4837	1元，直径为25毫米，材质为黄铜合金
spdb4838	黄铜合金
spdb4839	8000
spdb4847	300元
spdb4848	深圳国宝造币有限公司、沈阳造币有限公司和上海造币有限公司
spdb4849	2014年3月20
spdb4867	100元
spdb4868	100元
spdb4869	100元
spdb4878	2012年8月31
spdb4888	交通银行首尔分行
spdb4889	2014年6月30
spdb4890	30
spdb4900	2013年9月10
spdb4908	5元，直径为30毫米
spdb4909	5元，直径为30毫米
spdb4910	7000万枚
spdb4920	中国银行巴黎分行
spdb4927	深圳国宝造币有限公司
spdb4928	深圳国宝造币有限公司
spdb4929	2013年12月24
spdb4938	2014年10月24
spdb4948	中国银行悉尼分行
spdb4949	2014年12月26
spdb4959	1%
spdb4960	2014年3月21
spdb4968	2014年7月31
spdb4977	2015年7月16
spdb4988	人民币计价、结算
spdb4989	在存管银行开立的人民币保证金专用账户
spdb4998	2015年8月20
spdb5010	2015年11月12
spdb5018	赞比亚中国银行
spdb5020	2015年9月29
spdb5028	公平、公开、公正
spdb5029	传至全国银行间同业拆借中心
spdb5038	2014年5月30
spdb5047	10元
spdb5048	双色铜合金
spdb5049	双色铜合金
spdb5050	5亿枚
spdb5059	2015年11月6
spdb5067	2016年8月10
spdb5077	）155．52克（5盎司
spdb5078	）155．52克（5盎司
spdb5079	）155．52克（5盎司
spdb5080	深圳国宝造币有限公司、上海造币有限公司
spdb5087	10个工作日内
spdb5097	2021年5月2日
spdb5099	2016年7月19
spdb5118	中国人民银行上海
spdb5119	五、合格机构投资者
spdb5120	中国人民银行根据有关规定进行处理并通报相关机构监管部门，或者移交有关部门
spdb5129	中国人民银行关于《个人存款账户实名制规定》施行中有关问题处理意见的补充通知
spdb5138	积数计息法和逐笔计息法
spdb5140	积数计息法按实际天数每日累计账户余额，以累计积数乘以日利率计算利息。计息公式为：利息=累计计息积数×日利率，其中累计计息积数=每日余额合计数。
spdb5150	其业务人员、资金账户均应分开，不得混合操作
spdb5157	每季度结束后的10个工作日内
spdb5167	每年第一季度
spdb5169	2016年1月5
spdb5177	中国人民银行
spdb5178	20个工作日内
spdb5198	中国人民银行关于加强会计联行管理有关事项的通知
spdb5200	营业部(室)主任坐班制度
spdb5209	《中国人民银行关于内地银行与香港和澳门银行办理个人人民币业务有关问题的通知》
spdb5217	国家外汇管理局
spdb5228	二次预约方式发行
spdb5247	中国人民银行
spdb5248	我国银行信息化发展的重大举措
spdb5250	计算机安全管理委员会(领导小组)主任委员
spdb5267	2平方厘米
spdb5268	《国务院对确需保留的行政审批项目设定行政许可的决定》
spdb5288	《商业银行中间业务统计制度》适用于开展中间业务的各国有独资商业银行、股份制商业银行和城市商业银行
spdb5289	《商业银行中间业务统计制度》中的指标数据从各商业银行会计科目、账户以及台账信息中取得。
spdb5290	《商业银行中间业务统计制度》
spdb5308	中国人民银行
spdb5310	3％
spdb5320	中国人民银行债券发行系统
spdb5330	3月15日
spdb5337	中国人民银行
spdb5348	2001年10月26
spdb5357	15枚
spdb5358	2000元，尺寸40毫米×64毫米
spdb5360	2001年7月15
spdb5367	中国人民银行
spdb5368	谨慎会计原则
spdb5369	根据《贷款风险分类指导原则》，对贷款进行风险分类后，按每笔贷款损失的程度计提的用于弥补专项损失的准备。特种准备指针对某一国家、地区、行业或某一类贷款风险计提的准备。
spdb5377	5枚
spdb5379	50000
spdb5380	8800
spdb5387	长方形，规格90毫米×40毫米，面额50元
spdb5388	50元
spdb5389	5盎司
spdb5399	2001年5月23
spdb5417	联社
spdb5418	信用社开办银行承兑汇票业务，应使用人民银行统一规定的票据凭证和汇票
spdb5419	中国人民银行管辖分行、营业管理部、省会（首府）城市中心支行
spdb5420	中国人民银行总行
spdb5430	2006年1月1
spdb5439	8个工作日内
spdb5448	2001年5月23
spdb5457	按年结息
spdb5458	每年6月30
spdb5469	2004年4月25
spdb5479	国家外汇管理局
spdb5480	所在地外汇局
spdb5498	中国人民银行关于应对非典型肺炎影响全力做好当前货币信贷工作的意见
spdb5508	每年1月20日
spdb5519	38000套
spdb5530	1999年10月1
spdb5538	“银联”标识
spdb5540	中国印钞造币总公司
spdb5548	报经中国人民银行
spdb5559	房地产开发贷款科目
spdb5579	外汇局
spdb5597	通知》
spdb5598	2006年6月1
spdb5599	《国务院办公厅转发建设部等部门关于调整住房供应结构稳定住房价格意见的通知》
spdb5608	《网上银行业务管理暂行办法》
spdb5609	人民银行总行、分行或营业管理部
spdb5618	超过一年
spdb5619	要根据生产经营活动的实际周期确定，但最长不得超过三年
spdb5620	《基金管理公司、证券公司人民币合格境外机构投资者境内证券投资试点办法》有关事项的通知
spdb5629	人民银行总行
spdb5639	中国人民银行先后印发
spdb5657	固定代理行收益方式
spdb5660	固定发卡行收益比例的方式
spdb5667	中国人民银行
spdb5668	2004年1月底前
spdb5690	网络方式加密传送至中国人民银行大额支付统计分析系统。
spdb5700	《现金管理暂行条例》
spdb5719	自小额支付系统
spdb5720	中国人民银行
spdb5728	366天以上
spdb5729	中国人民银行关于进一步做好农村信用社支农服务工作的通知
spdb5730	15%以上
spdb5768	贸易进口结算项
spdb5769	则所购
spdb5770	则所购
spdb5797	每笔5.1元人民币
spdb5798	每笔0.6元人民币
spdb5799	每笔1.2元人民币
spdb5800	2元人民币
spdb5807	1990年12月
spdb5828	200份（含200份）
spdb5837	下调到522%
spdb5847	260亿元
spdb5870	国家外汇管理局各省、自治区、直辖市分局，深圳分局
spdb5888	销货款存入。
spdb5898	1980年
spdb5899	1996年外商投资企业
spdb5900	1998年12月1
spdb5918	《支付结算办法》规定的收费项目和标准收取手续费和邮电费
spdb5957	窗口指导方式，对辖内城市商业银行的支行逐一
spdb5958	资金
spdb5960	中国人民银行和财政部联合制定的《会计师事务所从事金融相关审计业务暂行办法》
spdb5970	1999年10月1
spdb5979	2000年1月1日至6月30日
spdb5987	1998年9月31日前
spdb5989	系统
spdb5997	外币计价结算
spdb5999	根据需要可以开立外汇结算账户
spdb6000	外汇专用账户
spdb6007	88家
spdb6018	1999年6月
spdb6020	“国家版权局著作权合同登记批复”
spdb6028	60日内
spdb6047	1999年10月1
spdb6050	未经中国人民银行总行
spdb6057	年满18周岁的在校大学生一般发放信用助学贷款
spdb6058	对接受非义务教育学生的直系亲属或法定监护人一般发放担保助学贷款
spdb6070	国家外汇管理局
spdb6088	“已售汇”戳记，复印留底
spdb6097	1990年颁布的《利率管理暂行规定》进行了修订，现将修订后的《人民币利率管理规定》
spdb6098	中国人民银行
spdb6117	中国人民银行
spdb6119	总行
spdb6140	中国银行
spdb6147	凭户口所在地的户籍证明
spdb6148	凡持因私护照出境的，均按年度、按因私用汇标准只供汇一次
spdb6149	签证多次往返的或一本护照一年内多次签证的，按年度、按标准只供汇一次
spdb6150	签证多次往返的或一本护照一年内多次签证的，按年度、按标准只供汇一次
spdb6159	中国法律、法规的规定，经批准在中国设立和营业的外资银行、合资银行、外国银行分行、合资财务公司和外资财务公司
spdb6167	一九九九年一月三日
spdb6170	人民银行统计司
spdb6179	1998年中国人民银行成立清分工作领导小组
spdb6190	4月底以前
spdb6207	1998年5月底前
spdb6230	商业银行
spdb6237	2000年4月30
spdb6249	外汇管理部门
spdb6278	五年
spdb6300	10%
spdb6308	5万美元提高至20万美元
spdb6309	5万美元提高至20万美元
spdb6318	独立法人资格
spdb6319	财政部
spdb6327	外汇局
spdb6328	10万美元（含10万美元）以上或外汇局认为有疑问的，外汇局有权进行抽查，审核其汇出利润的真实性，抽查率不得低于银行
spdb6329	“已办理利润或股息、红利汇出”字样并加盖银行印章，办理汇出手续后留存本通知第一、二条提及的有关凭证
spdb6337	金融机构的一般存款
spdb6338	人民银行
spdb6339	存款准备金率从现行的13%下调到8%
spdb6358	1999年1月1日欧元
spdb6359	《外商投资企业外汇登记证》
spdb6360	《欧元账户开户通知书》
spdb6388	分支行
spdb6390	《国务院关于坚决打击骗取出口退税严厉惩治金融和财税领域违法乱纪行为的决定》
spdb6398	“双签”制度
spdb6407	《关于清理国有独资商业银行专项贷款的请示》
spdb6419	每年30%
spdb6428	《储蓄管理条例》有关存款期限、支付方式、计息办法等方面的规定
spdb6429	1998年6月22
spdb6430	国家外汇管理局1998年6月22
spdb6437	国有独资商业银行县级支行以下单位
spdb6440	393mm× 546mm
spdb6458	《银行卡发卡行标识代码及卡号》
spdb6459	2004年1月1日起
spdb6468	自2200年7月1
spdb6469	每季度后15日内
spdb6509	1999年11月1
spdb6510	534075亿元
spdb6517	2001年6月1
spdb6518	5
spdb6530	中国人民银行
spdb6538	借款人
spdb6539	赌博、吸毒、嫖娼、包养情妇，经常出入歌舞厅、桑拿场所，大操大办婚丧红白喜事，购买与其经济实力不相称的高级轿车、经常租住高级宾馆等行为的，其企业贷款必须从严控制。
spdb6549	国家税务总局
spdb6558	2003年12月27日
spdb6568	人民币
spdb6579	《1998年到期换证银行名单》
spdb6580	1.申请报告；  　　2.外汇业务经营情况总结报告；  　　3.由外汇局认可的注册会计师事务所出具的外汇资本金或者外汇营运资金验资报告或总行对其外汇营运资金的承诺文件；  　　4.近3年的资产负债表和损益表（外币合并表、本外币合并表）；  　　5.外汇局近期对其外汇业务的检查或者考评报告，或者近期的外汇业务自查报告
spdb6610	２００６年６月２９日
spdb6619	第八届全国人民代表大会常务委员会第十三次会议
spdb6620	中华人民共和国境内的票据活动，适用本法
spdb6640	方可
spdb6648	《中华人民共和国行政诉讼法》的规定向人民法院提起诉讼
spdb6678	2004年2月1
spdb6679	２００６年６月２９日
spdb6697	2001年6月1
spdb6717	２００６年６月２９日
spdb6749	全国人民代表大会常务委员会关于中国银行业监督管理委员会履行原由中国人民银行履行的监督管理职责的决定（2003年4月26日第十届全国人民代表大会常务委员会第二次会议
spdb6750	国务院抓紧提出修改《中华人民共和国中国人民银行
spdb6757	2002年7月18
spdb6778	中华人民共和国证券法；本法未规定的，适用《中华人民共和国公司法》和其他法律、行政法规
spdb6787	第二百八十条
spdb6790	刑法第三百九十七条的规定
spdb6810	国务院第25次常务会议
spdb6837	国务院反洗钱行政主管部门
spdb6840	2001年12月15
spdb6847	1个月
spdb6848	不得超过20天
spdb6849	每季度
spdb6850	中国人民银行
spdb6857	２００６年６月２９日
spdb6867	指外国中央银行的现金、票据、银行存款、有价证券、外汇储备、黄金储备以及该银行
spdb6868	外国的和区域经济一体化组织的中央银行或者履行中央银行职能的金融管理机构。
spdb6870	根据《贷款通则》第五十六条的规定
spdb6877	“认定总额、各成员分担”
spdb6887	深圳、上海、天津、大连
spdb6888	1年内
spdb6889	2年内，开放济南、福州、成都、重庆
spdb6890	3年内，开放昆明、北京、厦门
spdb6897	》和《执法检查通知书》
spdb6900	中华人民共和国第十届全国人民代表大会常务委员会第十八次会议
spdb6920	2004年11月1
spdb6930	中国人民银行
spdb6957	60日内
